Date,Visitor/Neutral,Home/Neutral
,,
Tue Jan 28 2020,New York Knicks,Charlotte Hornets
Tue Jan 28 2020,Golden State Warriors,Philadelphia 76ers
Tue Jan 28 2020,New Orleans Pelicans,Cleveland Cavaliers
Tue Jan 28 2020,Atlanta Hawks,Toronto Raptors
Tue Jan 28 2020,Denver Nuggets,Memphis Grizzlies
Tue Jan 28 2020,Boston Celtics,Miami Heat
Tue Jan 28 2020,Washington Wizards,Milwaukee Bucks
Tue Jan 28 2020,Phoenix Suns,Dallas Mavericks
Wed Jan 29 2020,Chicago Bulls,Indiana Pacers
Wed Jan 29 2020,Detroit Pistons,Brooklyn Nets
Wed Jan 29 2020,Memphis Grizzlies,New York Knicks
Wed Jan 29 2020,Utah Jazz,San Antonio Spurs
Wed Jan 29 2020,Houston Rockets,Portland Trail Blazers
Wed Jan 29 2020,Oklahoma City Thunder,Sacramento Kings
Thu Jan 30 2020,Toronto Raptors,Cleveland Cavaliers
Thu Jan 30 2020,Charlotte Hornets,Washington Wizards
Thu Jan 30 2020,Philadelphia 76ers,Atlanta Hawks
Thu Jan 30 2020,Golden State Warriors,Boston Celtics
Thu Jan 30 2020,Utah Jazz,Denver Nuggets
Thu Jan 30 2020,Sacramento Kings,Los Angeles Clippers
Fri Jan 31 2020,Toronto Raptors,Detroit Pistons
Fri Jan 31 2020,Chicago Bulls,Brooklyn Nets
Fri Jan 31 2020,Dallas Mavericks,Houston Rockets
Fri Jan 31 2020,Memphis Grizzlies,New Orleans Pelicans
Fri Jan 31 2020,Denver Nuggets,Milwaukee Bucks
Fri Jan 31 2020,Oklahoma City Thunder,Phoenix Suns
Fri Jan 31 2020,Portland Trail Blazers,Los Angeles Lakers
Sat Feb 1 2020,Minnesota Timberwolves,Los Angeles Clippers
Sat Feb 1 2020,New York Knicks,Indiana Pacers
Sat Feb 1 2020,Miami Heat,Orlando Magic
Sat Feb 1 2020,Golden State Warriors,Cleveland Cavaliers
Sat Feb 1 2020,Brooklyn Nets,Washington Wizards
Sat Feb 1 2020,Philadelphia 76ers,Boston Celtics
Sat Feb 1 2020,Atlanta Hawks,Dallas Mavericks
Sat Feb 1 2020,Charlotte Hornets,San Antonio Spurs
Sat Feb 1 2020,Los Angeles Lakers,Sacramento Kings
Sat Feb 1 2020,Utah Jazz,Portland Trail Blazers
Sun Feb 2 2020,Denver Nuggets,Detroit Pistons
Sun Feb 2 2020,New Orleans Pelicans,Houston Rockets
Sun Feb 2 2020,Phoenix Suns,Milwaukee Bucks
Sun Feb 2 2020,Chicago Bulls,Toronto Raptors
Mon Feb 3 2020,Orlando Magic,Charlotte Hornets
Mon Feb 3 2020,New York Knicks,Cleveland Cavaliers
Mon Feb 3 2020,Dallas Mavericks,Indiana Pacers
Mon Feb 3 2020,Golden State Warriors,Washington Wizards
Mon Feb 3 2020,Boston Celtics,Atlanta Hawks
Mon Feb 3 2020,Phoenix Suns,Brooklyn Nets
Mon Feb 3 2020,Philadelphia 76ers,Miami Heat
Mon Feb 3 2020,Detroit Pistons,Memphis Grizzlies
Mon Feb 3 2020,Minnesota Timberwolves,Sacramento Kings
Mon Feb 3 2020,San Antonio Spurs,Los Angeles Clippers
Tue Feb 4 2020,Milwaukee Bucks,New Orleans Pelicans
Tue Feb 4 2020,Charlotte Hornets,Houston Rockets
Tue Feb 4 2020,Portland Trail Blazers,Denver Nuggets
Tue Feb 4 2020,San Antonio Spurs,Los Angeles Lakers
Wed Feb 5 2020,Phoenix Suns,Detroit Pistons
Wed Feb 5 2020,Orlando Magic,Boston Celtics
Wed Feb 5 2020,Golden State Warriors,Brooklyn Nets
Wed Feb 5 2020,Indiana Pacers,Toronto Raptors
Wed Feb 5 2020,Atlanta Hawks,Minnesota Timberwolves
Wed Feb 5 2020,Cleveland Cavaliers,Oklahoma City Thunder
Wed Feb 5 2020,Memphis Grizzlies,Dallas Mavericks
Wed Feb 5 2020,Denver Nuggets,Utah Jazz
Wed Feb 5 2020,Miami Heat,Los Angeles Clippers
Thu Feb 6 2020,Orlando Magic,New York Knicks
Thu Feb 6 2020,New Orleans Pelicans,Chicago Bulls
Thu Feb 6 2020,Philadelphia 76ers,Milwaukee Bucks
Thu Feb 6 2020,San Antonio Spurs,Portland Trail Blazers
Thu Feb 6 2020,Houston Rockets,Los Angeles Lakers
Fri Feb 7 2020,Memphis Grizzlies,Philadelphia 76ers
Fri Feb 7 2020,Dallas Mavericks,Washington Wizards
Fri Feb 7 2020,Atlanta Hawks,Boston Celtics
Fri Feb 7 2020,Toronto Raptors,Indiana Pacers
Fri Feb 7 2020,Detroit Pistons,Oklahoma City Thunder
Fri Feb 7 2020,Houston Rockets,Phoenix Suns
Fri Feb 7 2020,Miami Heat,Sacramento Kings
Fri Feb 7 2020,Portland Trail Blazers,Utah Jazz
Sat Feb 8 2020,Milwaukee Bucks,Orlando Magic
Sat Feb 8 2020,Dallas Mavericks,Charlotte Hornets
Sat Feb 8 2020,New York Knicks,Detroit Pistons
Sat Feb 8 2020,New Orleans Pelicans,Indiana Pacers
Sat Feb 8 2020,Brooklyn Nets,Toronto Raptors
Sat Feb 8 2020,Los Angeles Clippers,Minnesota Timberwolves
Sat Feb 8 2020,Los Angeles Lakers,Golden State Warriors
Sat Feb 8 2020,Denver Nuggets,Phoenix Suns
Sat Feb 8 2020,San Antonio Spurs,Sacramento Kings
Sun Feb 9 2020,Boston Celtics,Oklahoma City Thunder
Sun Feb 9 2020,New York Knicks,Atlanta Hawks
Sun Feb 9 2020,Chicago Bulls,Philadelphia 76ers
Sun Feb 9 2020,Memphis Grizzlies,Washington Wizards
Sun Feb 9 2020,Utah Jazz,Houston Rockets
Sun Feb 9 2020,Los Angeles Clippers,Cleveland Cavaliers
Sun Feb 9 2020,Miami Heat,Portland Trail Blazers
Mon Feb 10 2020,Charlotte Hornets,Detroit Pistons
Mon Feb 10 2020,Brooklyn Nets,Indiana Pacers
Mon Feb 10 2020,Atlanta Hawks,Orlando Magic
Mon Feb 10 2020,Minnesota Timberwolves,Toronto Raptors
Mon Feb 10 2020,Sacramento Kings,Milwaukee Bucks
Mon Feb 10 2020,Utah Jazz,Dallas Mavericks
Mon Feb 10 2020,San Antonio Spurs,Denver Nuggets
Mon Feb 10 2020,Miami Heat,Golden State Warriors
Mon Feb 10 2020,Phoenix Suns,Los Angeles Lakers
Tue Feb 11 2020,Los Angeles Clippers,Philadelphia 76ers
Tue Feb 11 2020,Chicago Bulls,Washington Wizards
Tue Feb 11 2020,Portland Trail Blazers,New Orleans Pelicans
Tue Feb 11 2020,San Antonio Spurs,Oklahoma City Thunder
Tue Feb 11 2020,Boston Celtics,Houston Rockets
Wed Feb 12 2020,Atlanta Hawks,Cleveland Cavaliers
Wed Feb 12 2020,Detroit Pistons,Orlando Magic
